order_date,day_name,Item Name,total_orders,total_price,avg_price,min_price,total_quantity_sold,total_revenue,avg_revenue
2016-03-10,Thursday,Vegetable Karahi,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-10,Thursday,French Fries,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-10,Thursday,Chapati,1,1.95,1.95,1.95,1,1.95,1.95
2016-03-10,Thursday,COBRA (660ML),1,5.95,5.95,5.95,1,5.95,5.95
2016-03-10,Thursday,Bengal Salad,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-10,Thursday,Aloo Chaat,1,4.95,4.95,4.95,1,4.95,4.95
2016-03-10,Thursday,Green Salad,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-11,Friday,Onion Bhajee,2,7.9,3.95,3.95,2,7.9,3.95
2016-03-11,Friday,Meat Samosa,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-11,Friday,Bengal Salad,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-11,Friday,French Fries,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-15,Tuesday,Meat Samosa,3,11.850000000000001,3.9500000000000006,3.95,3,11.850000000000001,3.95
2016-03-15,Tuesday,Vegetable Karahi,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-15,Tuesday,Puree,1,1.95,1.95,1.95,1,1.95,1.95
2016-03-15,Tuesday,Plain Rice,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-15,Tuesday,Pilau Rice,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-15,Tuesday,Onion Bhajee,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-15,Tuesday,Lemon Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-15,Tuesday,Madras,1,7.95,7.95,7.95,1,7.95,7.95
2016-03-15,Tuesday,French Fries,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-15,Tuesday,Chicken Tikka Masala,2,17.9,8.95,8.95,2,17.9,8.95
2016-03-15,Tuesday,Chicken Tikka Karahi,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-15,Tuesday,Chicken Tikka (Main),1,8.95,8.95,8.95,1,8.95,8.95
2016-03-15,Tuesday,Chicken Haryali,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-15,Tuesday,Bengal Salad,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-15,Tuesday,Green Salad,1,2.95,2.95,2.95,1,2.95,2.95
